#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
542	1701000	2553000	2126806	28
545	4300000	6200000	5250000	175
546	4300000	6200000	5250000	1288
548	4500000	6700000	5600000	610
549	3912000	5869000	4905192	121
645	3842000	5764000	4777929	78
646	3746000	5620000	4683328	11
648	3650000	5476000	4615724	177
650	3641000	5463000	4551079	27
651	3696000	5545000	4642943	24
652	3403000	5106000	4254583	6
654	3684000	5527000	4590678	194
656	3668000	5503000	4585624	13
659	3751000	5628000	4689415	35
661	3885000	5829000	4857788	26
663	4200000	6100000	5150000	268
666	3600000	4850000	4225000	4137
668	3394000	5092000	4234817	79
669	4698000	7048000	5859999	56
670	4200000	6100000	5150000	5115
672	4000000	6100000	5050000	800
673	3277000	4916000	4096279	10
674	3600000	4850000	4225000	29
675	3040000	4561000	3802622	19
676	3767000	5652000	4716450	221
680	4288000	6433000	5360996	78
685	3753000	5630000	4691424	9
687	3303000	5955000	4707829	4
689	4605000	6909000	5844606	16
691	4116000	6175000	5168686	11
703	3016000	4525000	3763376	27
714	1693000	2541000	2121891	167
